mall_name,latitude,longitude
Alexandra Retail Centre,1.27414893629254,103.801399416665
Bugis Junction,1.29911287475873,103.855411173758
Bugis+,1.29960368990297,103.854242347489
Capitol Piazza,1.29307884763132,103.851261982149
Cathay Cineleisure Orchard,1.30152101873533,103.836429655016
The Centrepoint,1.30169400006089,103.83979800004
City Square Mall,1.31142103107683,103.856624019991
CityLink Mall,1.2927777312893,103.854173501417
Chinatown Point,1.28499882847401,103.844697081142
Duo,1.29953434891664,103.85840168774
Far East Plaza,1.30717698071189,103.833792932243
Funan,1.29161270605129,103.849478850252
Great World City,1.29342272650003,103.832022146655
HarbourFront Centre,1.26396991176004,103.820243325181
HDB Hub,1.33201387005935,103.84984949662
Holland Village Shopping Mall,1.31027747574118,103.795371163103
ION Orchard,1.30397974144505,103.832032328465
Jelita Mall,1.31754555939886,103.785850542515
Junction 8,1.3504812534505,103.848760473211
Liat Towers,1.30508722710852,103.830722581168
Lucky Plaza,1.30450604646634,103.833962339817
Marina Bay Sands,1.28346618479588,103.860603437294
Marina Bay Link Mall,1.28023825446086,103.853369662547
Marina Square,1.27894148629275,103.851256039975
Millenia Walk,1.29260544462492,103.859724944443
Mustafa Centre,1.31011213190394,103.855290873926
Ngee Ann City,1.30224168528687,103.835181912297
Orchard Central,1.30083890839245,103.839434733899
Orchard Gateway,1.30044325279546,103.839442780042
Palais Renaissance,1.30665484543191,103.829588045188
The Paragon,1.30387230879994,103.835857545469
People's Park Centre,1.28577009981805,103.843980122838
People's Park Complex,1.28413397178419,103.842519972666
Plaza Singapura,1.30074770963916,103.845047573431
Raffles City,1.29120773882285,103.857540736886
Shaw House and Centre,1.30580981580562,103.831507365654
Sim Lim Square,1.3030242605718,103.853037814067
The South Beach,1.29498804392056,103.856276242094
Square 2,1.32070510956845,103.844160709661
Suntec City,1.29350132535558,103.857307495824
Tanjong Pagar Centre,1.27658360696843,103.845936303594
Tekka Centre,1.30617705325622,103.85061131325
Tiong Bahru Plaza,1.28645889472825,103.827015256194
Thomson Plaza,1.35436282723449,103.83030941613
Novena Square Shopping Mall,1.31996748439185,103.843850630993
VivoCity,1.26429316783973,103.82230469365
Wheelock Place,1.30467628730252,103.830642027577
Wisma Atria,1.30370477426147,103.833205752808
Bedok Mall,1.32473632784728,103.929256259998
Century Square,1.35236829566862,103.943812302253
Changi City Point,1.33403637902708,103.962917615531
Downtown East,1.38017750107484,103.955150659142
Eastpoint Mall,1.34270592355576,103.953024618234
Jewel Changi Airport,1.3603410066102,103.98907755021
Katong Shopping Centre,1.3040973115095,103.901515916971
Kallang Wave Mall,1.30307515150401,103.873149707591
Leisure Park Kallang,1.30230108405227,103.876473975883
i12 Katong,1.30520653617341,103.905046110228
Our Tampines Hub,1.35354740485205,103.940381104547
Parkway Parade,1.30106975506311,103.905279491524
Paya Lebar Quarter,1.31770886898996,103.893414663597
Paya Lebar Square,1.31881487007651,103.892580778514
SingPost Centre,1.31899666903663,103.894894915962
Tampines 1,1.34342966240204,103.932354333699
Tampines Mall,1.35252737278519,103.944698751072
White Sands,1.37244981663527,103.949715694737
Pasir Ris Mall,1.37382437779468,103.948748873616
AMK Hub,1.36938922690344,103.84847796594
Canberra Plaza,1.44349544527985,103.830345369213
Causeway Point,1.4360700650803,103.785981524253
Northpoint City,1.42790288991304,103.836177650973
Sembawang Shopping Centre,1.44182470675733,103.824845207237
Sun Plaza,1.44819535371132,103.819502127155
Compass One,1.39205314156706,103.89507054384
Heartland Mall,1.35954177325561,103.885167372726
Hougang Mall,1.37249118635803,103.893774066625
NEX,1.35076935257845,103.872296143862
Oasis Terraces,1.40278015725693,103.913215101343
Punggol Plaza,1.39423719717117,103.913047323223
Punggol Coast Mall,1.4158222819337,103.909068115397
The Seletar Mall,1.39147015374628,103.876125507257
Waterway Point,1.40653611690554,103.90198817171
Northshore Plaza I,1.41675822948163,103.902077462626
Northshore Plaza II,1.41796176594116,103.901323351032
Anchorvale Village,1.39679315311901,103.888437344772
Sengkang Grand Mall,1.38315193616746,103.892295809097
Hougang Village,1.35408273910145,103.890130407955
Bukit Panjang Plaza,1.37992045176243,103.764357180314
Dairy Farm Mall,1.3655707838852,103.77504908361
Fajar Shopping Centre,1.38358032362676,103.770768501474
Gek Poh Shopping Centre,1.34874357136408,103.697732091001
Greenridge Shopping Centre,1.38540569283271,103.766228468185
Hillion Mall,1.37843100827586,103.762842789877
IMM,1.27333091870724,103.811828364197
Jem,1.33329334473462,103.743278742341
Junction 10,1.38033681049385,103.760167883439
Jurong Point,1.33945271661445,103.70668501289
HillV2,1.36267450828024,103.76417292006
Le Quest,1.35641720019399,103.740927523447
Limbang Shopping Centre,1.39222033136152,103.743611063324
Lot 1,1.38497459672379,103.745011766388
Pioneer Mall,1.34169239214292,103.697174842118
Plantation Plaza,1.35759319436135,103.734174851203
Parc Point,1.36062515100842,103.738767971079
Queensway Shopping Centre,1.28759518939869,103.803397287789
The Clementi Mall,1.31489619639366,103.764423054189
The Rail Mall,1.35773050150178,103.768137724847
Teck Whye Shopping Centre,1.38004752975397,103.752483841199
The Star Vista,1.30697044038323,103.788420274115
West Coast Plaza,1.30369748971099,103.766131294678
Westgate,1.33415767556867,103.742766484424
West Mall,1.35002107594315,103.749216493831
Yew Tee Point,1.39696992267974,103.746443198224
313@Somerset,1.30101436404056,103.838360664485
Velocity@Novena,1.31978949204523,103.844033569199
One Holland Village,1.31104916811064,103.794145546471
