longitude,latitude,name
103.94545871790103,1.3403450581843968,PAN ISLAND EXPRESSWAY
103.94711962269962,1.3418602543817917,PAN ISLAND EXPRESSWAY
103.85628683305116,1.321800186212225,CENTRAL EXPRESSWAY
103.85828023509725,1.3240202172433442,CENTRAL EXPRESSWAY
103.86039743931902,1.3662797483108213,CENTRAL EXPRESSWAY
103.85753526958676,1.3583263999817725,CENTRAL EXPRESSWAY
103.84059595639214,1.307220480093907,CENTRAL EXPRESSWAY
103.84106704840241,1.3077082767409078,CENTRAL EXPRESSWAY
103.84163295333218,1.3081227606549553,CENTRAL EXPRESSWAY
103.84222173182519,1.3085199890775205,CENTRAL EXPRESSWAY
103.8430334205648,1.3091589676615096,CENTRAL EXPRESSWAY
103.84361642629099,1.309763355883406,CENTRAL EXPRESSWAY
103.84398791971695,1.310246837646399,CENTRAL EXPRESSWAY
103.84437643133256,1.311033814123227,CENTRAL EXPRESSWAY
103.71176890322813,1.3218613422090193,AYER RAJAH EXPRESSWAY
103.7134539632387,1.3222442223616468,AYER RAJAH EXPRESSWAY
103.7146434188493,1.3225355262605571,AYER RAJAH EXPRESSWAY
103.87307434618795,1.323018732450323,PAN ISLAND EXPRESSWAY
103.87128921786737,1.3253815564384983,PAN ISLAND EXPRESSWAY
103.70304342440784,1.361431067341638,KRANJI EXPRESSWAY
103.70335447312755,1.361906532665443,KRANJI EXPRESSWAY
103.70373657977788,1.362345187941189,KRANJI EXPRESSWAY
103.70421606066058,1.362831599641698,KRANJI EXPRESSWAY
103.7046418247306,1.3632136612729124,KRANJI EXPRESSWAY
103.70583409261599,1.3641743520649285,KRANJI EXPRESSWAY
103.70736722207457,1.3653380670249604,KRANJI EXPRESSWAY
103.7083222906234,1.3659958227039957,KRANJI EXPRESSWAY
103.7092270987142,1.3664891497276928,KRANJI EXPRESSWAY
103.70988432785221,1.36676773007634,KRANJI EXPRESSWAY
103.71066473982431,1.3670840556284545,KRANJI EXPRESSWAY
103.71253168470265,1.3677015155970165,KRANJI EXPRESSWAY
103.8411414604306,1.302948643686206,CENTRAL EXPRESSWAY
103.84190156360316,1.3023302980647753,CENTRAL EXPRESSWAY
103.84270691261699,1.301697929867356,CENTRAL EXPRESSWAY
103.75679945622335,1.3183003530994484,AYER RAJAH EXPRESSWAY
103.75543485836744,1.3199584236030244,AYER RAJAH EXPRESSWAY
103.75502372160317,1.3203934285920629,AYER RAJAH EXPRESSWAY
103.75468872534469,1.3206828487314743,AYER RAJAH EXPRESSWAY
103.75423636960824,1.3209871861618305,AYER RAJAH EXPRESSWAY
103.75396552236083,1.3211138272878873,AYER RAJAH EXPRESSWAY
103.7532093058778,1.3213630129592293,AYER RAJAH EXPRESSWAY
103.75138789628465,1.321975936323293,AYER RAJAH EXPRESSWAY
103.7503262490736,1.3222747532447767,AYER RAJAH EXPRESSWAY
103.74929866835947,1.3224958317531657,AYER RAJAH EXPRESSWAY
103.85900490704499,1.347164206548955,CENTRAL EXPRESSWAY
103.85709495789807,1.35261461479771,CENTRAL EXPRESSWAY
103.78039738609127,1.3620019555824037,BUKIT TIMAH EXPRESSWAY
103.7809059951737,1.3606960914228263,BUKIT TIMAH EXPRESSWAY
103.7814267979552,1.3595665765533622,BUKIT TIMAH EXPRESSWAY
103.7821345438201,1.3584100675558182,BUKIT TIMAH EXPRESSWAY
103.78308264556017,1.3571996496884595,BUKIT TIMAH EXPRESSWAY
103.7841242129832,1.3561370507138522,BUKIT TIMAH EXPRESSWAY
103.78540613268046,1.3550877556208645,BUKIT TIMAH EXPRESSWAY
103.78827935974434,1.3532247640397113,BUKIT TIMAH EXPRESSWAY
103.78901430241336,1.3527277065742414,BUKIT TIMAH EXPRESSWAY
103.78965576075056,1.352190272748666,BUKIT TIMAH EXPRESSWAY
103.7900700733239,1.3517737219418888,BUKIT TIMAH EXPRESSWAY
103.79048444155447,1.3512496195497803,BUKIT TIMAH EXPRESSWAY
103.8290939007437,1.3267671177111084,PAN ISLAND EXPRESSWAY
103.82757671435873,1.3265323904111967,PAN ISLAND EXPRESSWAY
103.82712522319576,1.3264853695882832,PAN ISLAND EXPRESSWAY
103.82678186841855,1.3265017811063498,PAN ISLAND EXPRESSWAY
103.82639894558478,1.3265921450718967,PAN ISLAND EXPRESSWAY
103.82599765062768,1.326767314808966,PAN ISLAND EXPRESSWAY
103.82538652438114,1.327179526815244,PAN ISLAND EXPRESSWAY
103.85334670010589,1.3972946333218392,SELETAR EXPRESSWAY
103.85193556282191,1.3967298009230642,SELETAR EXPRESSWAY
103.85120110312822,1.3965470464420677,SELETAR EXPRESSWAY
103.85069770778932,1.3964473558596369,SELETAR EXPRESSWAY
103.8499879978488,1.3963891823839094,SELETAR EXPRESSWAY
103.84839526798847,1.396414016180353,SELETAR EXPRESSWAY
103.9031256971643,1.3253384783452868,PAN ISLAND EXPRESSWAY
103.8942963083578,1.3236001669291486,PAN ISLAND EXPRESSWAY
103.93823757764007,1.3351121452751398,PAN ISLAND EXPRESSWAY
