bus_stop_num,longitude,latitude
58039,103.82558173624862,1.4465079238607317
58031,103.82513856131426,1.4464887796279
14199,103.8127258576013,1.281299516573405
22259,103.70262419128842,1.3409129603655319
66581,103.87973536638953,1.3824475384400048
97069,103.97524984668038,1.3651055206222305
77131,103.94652685470346,1.375646200581814
78121,103.96193584388587,1.37487388118442
58201,103.8310139953794,1.4552747640002577
31059,103.69466486128967,1.3720112485341152
31081,103.69735496573252,1.3806192720896067
54031,103.8453246656093,1.3701583038213485
28501,103.72728352311213,1.3498032130455528
81011,103.88344456179783,1.3153338252827225
48011,103.77455629991397,1.4105656481072568
28221,103.74483925309644,1.327699856557809
62251,103.90071638346261,1.3775075669091017
11131,103.80705793449457,1.292941592101319
67321,103.88433328836783,1.3905239946880523
29129,103.73950878354964,1.3064522045204134
50121,103.84938376844647,1.319319993667079
55311,103.84690820095764,1.3842749096020153
03021,103.8499522560328,1.2824969022453279
43709,103.75201687971052,1.348643634682725
43759,103.73689074585387,1.3559376501682614
67339,103.89257841597323,1.3864647256491818
67469,103.89073758758398,1.385310220779554
76141,103.94611488055125,1.3537095234453522
76199,103.94529736683316,1.3565944459015506
15169,103.79684521450376,1.2747810506978592
46719,103.80107653369465,1.4548635243358823
25819,103.64355898451927,1.3325173284909861
15181,103.7855880823096,1.2909655770359942
18241,103.78706808868358,1.2909293757239284
66459,103.87067642019464,1.3784819047308277
59541,103.83020386780677,1.4236066342469202
11231,103.80110518977447,1.311205250267249
66461,103.87127607470624,1.378856475534596
52219,103.84166445288642,1.3383062192914816
70149,103.88643998733977,1.3328596075198005
70309,103.88644956327768,1.3395540552983791
70301,103.88574561439249,1.339641935857402
59569,103.83290855242306,1.418530628118891
54399,103.84866736255313,1.371360570887345
05013,103.8429693768197,1.2840434800569194
77171,103.95071487987734,1.3728132971616738
43419,103.74982433886554,1.3517576388160666
47591,103.80255250940843,1.439681605247258
52039,103.85135319378948,1.3433377233929462
20199,103.74824173766874,1.3191629731019212
22249,103.69859181183774,1.3401627475366455
22531,103.69811937370208,1.3392989462191607
22239,103.6973650946119,1.3408821218574094
22241,103.69932395081626,1.3401100121009417
46639,103.78885538063503,1.4370516796022563
46631,103.78918437936325,1.4369861341409196
46329,103.78745775585128,1.4344468100266266
44911,103.77281061121609,1.384798463680638
70061,103.87441665021339,1.3375080471692644
70069,103.87367105860349,1.337762756637874
65449,103.89594580587182,1.4080601242935458
65441,103.89570524375759,1.4081493769855589
41169,103.82008289724513,1.335022896729248
44551,103.73839937507974,1.3761173149617063
29109,103.74956066674635,1.2987412769755864
43669,103.7461098413614,1.3654951117862832
46301,103.78278287318304,1.4427555659279239
26111,103.65426314161195,1.314622924960703
25199,103.65936899629205,1.3211563204740169
25359,103.65289644398409,1.3235745119486106
72059,103.90442587122655,1.3338709281122252
23369,103.6791692302335,1.3190650950020286
56191,103.82945235923346,1.378850931708313
96219,103.98892815456308,1.315207929667524
54531,103.8512484881302,1.3583068620560723
84371,103.92623176105995,1.330558369481175
28259,103.73703751690094,1.3341239764121022
25161,103.65513768484358,1.32732091126127
64011,103.89280027219489,1.3676296675195476
49049,103.7507562757011,1.4200005594842546
11141,103.80570069943678,1.2947043364150155
43769,103.737855608145,1.3513762238337166
75379,103.93097052942916,1.359325805416495
28629,103.74420194118387,1.3419257265017512
54609,103.85526388305034,1.359285991211985
23219,103.68860312864827,1.31825127559072
59351,103.84019554865036,1.4287895769047403
53009,103.8498057227193,1.3504682047112568
63339,103.88443910253454,1.3681320573309277
51051,103.8370169324843,1.33634429962425
18011,103.80202258014307,1.2809274521387022
13101,103.84234169517596,1.2940833007194263
82151,103.90087396148277,1.3131619722261243
47071,103.8022060230667,1.4576537946420423
01629,103.85682860683342,1.296944136289934
11519,103.8032847280808,1.2866150953072475
66409,103.86587556242085,1.3493075586980205
70171,103.88547345620493,1.3283304683683532
26451,103.6296968957386,1.2969408361000783
66061,103.86350430471583,1.3440932010499689
10161,103.82654097425423,1.2859337620252336
31029,103.69300036964424,1.3629676454337365
46401,103.79544947161942,1.4409657544453518
98121,103.97019396953789,1.3720208237608271
44589,103.74010280780607,1.375122677279168
84661,103.9444071236269,1.319836632549814
92279,103.90967324607696,1.3063695355435851
21589,103.72351822062157,1.332155460491786
58571,103.81692890946965,1.4418630195815711
78051,103.96117394654006,1.366319174062014
23229,103.67173691035215,1.3086808740373506
58579,103.81697265898399,1.4414323157857551
75281,103.93356227393383,1.3602325033205018
96069,103.96311491192802,1.3465701353146942
44069,103.7571051949717,1.385893112264664
65641,103.89984161106695,1.4153812892502087
93021,103.92441662432174,1.3087113990608876
58411,103.81657195832663,1.4546131831839566
66301,103.87213458834664,1.3693531166242106
70359,103.87251682457835,1.3277057229531326
28469,103.73192978359492,1.346079797182806
28551,103.72001523872706,1.3530978534076639
46149,103.77385672880115,1.4435885024178359
53151,103.84132601766126,1.3594318028573404
46771,103.800281715422,1.4409334991519707
49111,103.755422462294,1.4324587615570306
44311,103.77400091161016,1.3793069886270575
45169,103.75458863826437,1.4031890939417266
64169,103.91144044564243,1.3712611765444125
98239,103.9725218393326,1.3714515033334302
59499,103.83458545201442,1.4132254499262902
31019,103.69400123932881,1.3599584820821968
44809,103.75981312953968,1.3849995073770072
28701,103.7579106571347,1.331372598371088
96031,103.95832788555634,1.3359646721731353
21229,103.71601001027895,1.3419998256455732
10471,103.81478600054223,1.2968006459110233
28669,103.74932977041061,1.3364660168226818
21699,103.71237867533222,1.341725296643566
28691,103.75754342236766,1.3356208819388853
96099,103.95779101744677,1.3366983726316728
47571,103.79645804536511,1.4334739219471748
24209,103.6599194232723,1.3152915297707726
91071,103.89603373549464,1.3017597838845674
47069,103.79872063429947,1.4559181949449898
15219,103.78702091852071,1.2781709045318412
11119,103.80758010131942,1.317190574388678
01039,103.85552228968666,1.2982157636748566
92081,103.91762978856401,1.3075174435735042
80011,103.86726148935453,1.309757436757559
45101,103.75456868187902,1.4186519308330765
42039,103.78785611244446,1.3346361939702855
64121,103.87649975504557,1.3798184601243162
93089,103.92782993148312,1.3129694059761945
58151,103.82198706458861,1.4484224953541367
51069,103.83666296801633,1.341012925507106
30059,103.7266484599218,1.3743727500187657
94049,103.94472917340404,1.3161434086607464
28161,103.71919686899606,1.3560263986368608
67659,103.87071449030583,1.3895170140764799
71101,103.9028898550298,1.3282117333588355
58479,103.79009285756366,1.4281338487821964
21421,103.71032660596568,1.3472772018608548
10659,103.81448931357686,1.2836620948551685
52149,103.84356828223531,1.336335920096427
96391,103.96781700824191,1.3369247505719788
16121,103.78372806019232,1.2862675066737412
09059,103.83615862708002,1.3004127068744082
54481,103.85582108965554,1.3760090228121045
13031,103.8171351861189,1.2993098095580333
12199,103.77813907866664,1.3154683102806708
28521,103.72110869759064,1.3509832957112868
21319,103.70980794696158,1.3237060313332947
65271,103.91069836503098,1.3999250591902312
10289,103.81449668601788,1.2918729399657738
23419,103.68612261461737,1.3038467478814249
22199,103.69850760294466,1.3309074177962605
65241,103.90768960344394,1.3991828358531542
44571,103.7430458628378,1.3783501808813248
10121,103.82892502057433,1.282619281641266
47661,103.80270686072792,1.444505073080129
65249,103.90824158346321,1.3996045227829166
60249,103.86210566261369,1.3234394197769563
95191,104.00096929434365,1.3801246249061154
62241,103.89116615434101,1.345150279984517
59661,103.837640429713,1.4263859188236403
50259,103.85510307786012,1.3123716279020878
45479,103.74649487052437,1.3942606355160976
55381,103.83593762062262,1.3899770383178367
59699,103.83598290403108,1.4246361129380314
47681,103.80459955046139,1.4446641284831663
47649,103.80368564834725,1.4390450731666298
84601,103.93121729620452,1.3381885077870148
61019,103.86975400600603,1.3331564583150566
50191,103.84961316477909,1.3257457531781351
44021,103.76159975747419,1.378391922011489
20299,103.75865353963708,1.3108793974417348
45421,103.75055645918066,1.4027214605556177
59469,103.84745983439893,1.4235802252083951
25179,103.65711324312275,1.3252902393825425
62101,103.87299559825888,1.3432562851827217
98089,103.96408365331651,1.361629020664992
83381,103.91456368736128,1.324679176378505
16021,103.7799219357876,1.2862474908429202
67069,103.8751041817257,1.3855719997930191
67249,103.89852354613184,1.3938350209849693
27041,103.67858260351255,1.350748133201127
52551,103.83992502741916,1.336308702237356
15139,103.7848479502357,1.2925687209116714
65549,103.89103876682539,1.4035396629934942
43681,103.74362091819732,1.3617908012269901
44581,103.74036741499998,1.375250238123867
52089,103.86039833337769,1.3299851579747486
08057,103.84537264260315,1.299313512806821
46499,103.77225149818338,1.4323040990400755
28121,103.73334484025732,1.3503851288041486
64059,103.89832711219879,1.3724613251455395
47079,103.80294121129185,1.4577984558752455
53061,103.82880241381069,1.3572176421311317
83191,103.91594223330026,1.3172924813068008
93051,103.91867989022417,1.3107003838386124
99101,103.98170854942325,1.3914035108262959
60121,103.86187987898721,1.3201646795448125
60031,103.87015771936116,1.3204500272623003
59389,103.84203989399751,1.432079382978232
93199,103.92623262542796,1.3079542332416338
50301,103.85182848929105,1.3159448579533604
44089,103.74015421959064,1.3769048451364665
52199,103.84660361597277,1.3355462722660152
64239,103.89676417498056,1.364352323870462
65251,103.9018355509441,1.405349438674822
11171,103.79474667342097,1.305345522382399
28581,103.72566366107716,1.3491757939646387
93139,103.93383926198351,1.3128850960053475
25079,103.64350764690079,1.3294118070493246
23399,103.69236675159794,1.3053493920884875
70329,103.87672712496857,1.3222977052553015
12129,103.78734358867189,1.3118658611541518
23051,103.68925483218386,1.3316637263275832
22491,103.70475681533216,1.3372817820347351
54099,103.85109677032891,1.3610910165695076
76201,103.9478454957531,1.3568806000666633
85081,103.94726404924056,1.3329632654284138
52289,103.85387581375333,1.3349443619362986
67121,103.90526380472329,1.3894658050414908
25429,103.63750740782501,1.3421105341273512
54641,103.86466300518615,1.3757404972368992
82221,103.8991248350359,1.3170385993705551
